id,logtime,interactionid
151932057001354744,2018-02-22 18:29:13.346,4261186622829037466
151932057001746506,2018-02-22 18:29:18.451,7757535677976463157
151932057002025920,2018-02-22 18:29:19.932,7666935439735236212
151932060000421951,2018-02-22 18:29:33.672,3201076696379959442
151932060000379449,2018-02-22 18:29:33.921,5114004978693893516
151932060000471301,2018-02-22 18:29:34.678,8110611632172605906
151932060000509640,2018-02-22 18:29:34.891,2753190640300773142
151932060001033248,2018-02-22 18:29:38.751,6823043180748503035
151932060001075429,2018-02-22 18:29:40.822,6926979518178634864
151932060000742722,2018-02-22 18:29:44.337,6047211182160116415
151932060001673021,2018-02-22 18:29:45.670,6024740341757052371
151932060001784742,2018-02-22 18:29:46.926,7333359501711970307
151932060002425133,2018-02-22 18:29:53.020,8224035286826333922
151932060002913711,2018-02-22 18:29:58.469,1593972003341393348
151932060001514322,2018-02-22 18:29:58.831,1076160025062316205
151932063001110115,2018-02-22 18:30:10.226,8435201390022942056
151932063001049526,2018-02-22 18:30:20.340,2597256402004453455
151932066000285901,2018-02-22 18:30:33.350,1262968147368900580
151932066001447121,2018-02-22 18:30:43.699,6537505032899721274
151932066001402713,2018-02-22 18:30:43.772,1255998150876061050
151932066002381001,2018-02-22 18:30:53.477,1303685626200462957
151932066002615843,2018-02-22 18:30:54.165,8607944526847127825
151932069000089942,2018-02-22 18:31:01.868,1452097386214277656
151932069000104829,2018-02-22 18:31:02.281,2296257998489417392
151932072000174643,2018-02-22 18:31:31.267,6660105649091459339
151932072001485831,2018-02-22 18:31:44.026,7304843127740999954
151932072001421121,2018-02-22 18:31:44.082,2928098133183708006
151932072001594042,2018-02-22 18:31:45.386,4908948170853464707
151932072001914209,2018-02-22 18:31:47.917,2345761377409106333
151932072004148533,2018-02-22 18:31:53.654,3984373583467315189
151932072002931635,2018-02-22 18:31:59.416,5194421301167832795
151932072004668333,2018-02-22 18:31:59.456,5119058643104871162
151932075000635906,2018-02-22 18:32:06.274,3241962140386411014
151932075000351122,2018-02-22 18:32:08.310,3745478515123408255
151932075002406637,2018-02-22 18:32:22.727,3870533706181446950
151932075002451034,2018-02-22 18:32:24.790,2375132649043357984
151932075002863020,2018-02-22 18:32:27.243,7494798606014225396
151932078000385427,2018-02-22 18:32:33.697,838900199480912567
151932078000404929,2018-02-22 18:32:33.708,8998481495023776572
151932078000803011,2018-02-22 18:32:37.633,4322162509611476639
151932078000783820,2018-02-22 18:32:37.878,9106996326670740036
151932078000882716,2018-02-22 18:32:38.163,1478502235613848200
151932078001570427,2018-02-22 18:32:43.963,1685534144803250759
151932078001712610,2018-02-22 18:32:46.431,872568692893323694
151932078001870828,2018-02-22 18:32:48.573,1982158852888881388
151932078002562641,2018-02-22 18:32:53.189,2914173819877447501
151932078003043446,2018-02-22 18:32:58.116,8335381388565578924
151932078003025542,2018-02-22 18:32:58.903,6373378975770058436
151932081000860316,2018-02-22 18:33:07.872,6700408720072095851
151932081003014207,2018-02-22 18:33:27.705,4169021595820078582
151932084000148448,2018-02-22 18:33:31.011,2147274323477021931
151932084000828020,2018-02-22 18:33:37.258,8991936229824207773
151932084000859045,2018-02-22 18:33:38.191,2896130793402904513
151932084001069414,2018-02-22 18:33:39.388,6848404366252447265
151932084002193501,2018-02-22 18:33:50.347,4964059726788434314
151932084002577852,2018-02-22 18:33:54.162,113279531667983577
151932084001632624,2018-02-22 18:33:58.207,8558638235353621892
151932087000689008,2018-02-22 18:34:06.512,3555375821407196017
151932087001016601,2018-02-22 18:34:08.444,3909631537720505178
151932087001804301,2018-02-22 18:34:16.892,9024937158106082197
151932087002301319,2018-02-22 18:34:22.165,425685149621196864
151932087002403248,2018-02-22 18:34:22.265,5612385406380465588
